Year,Hosts,Winners,Score[2],Runners-up,Third,Venue,Location,Attendance,Total Matches,Total Goals,Goals per match,Total Penalty,Cards per game,Player of the tournament,best player url,Leading goal scorer,goal scorer url,goal score
1930,Uruguay,Uruguay,4–2,Argentina,United States,Estadio Centenario,"Montevideo, Uruguay","68,346",18,70,3.89,1,0.06,Nasazzi,https://upload.wikimedia.org/wikipedia/commons/1/16/Jose_nasazzi_urug.jpg,Guillermo Stábile Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Stabile_hurac_1926.jpg/220px-Stabile_hurac_1926.jpg,8
1934,Italy,Italy,2–1 (a.e.t.),Czechoslovakia,Germany,Stadio Nazionale PNF,"Rome, Italy","55,000",17,70,4.12,3,0.06,Meazza,https://upload.wikimedia.org/wikipedia/commons/1/19/Giuseppe_Meazza_1935.jpg,Oldrich Nejedly Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/5/55/Nejedly.JPG,5
1938,France,Italy,4–2,Hungary,Brazil,Stade Olympique de Colombes,"Paris, France","45,000",19,87,4.58,3,0.21,Leônidas,https://upload.wikimedia.org/wikipedia/commons/a/a0/Leonidas_dasilva.jpg,Léônidas Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Leonidas_dasilva.jpg/200px-Leonidas_dasilva.jpg,7
1950,Brazil,Uruguay,"2–1
[n 3]",Brazil,Sweden,Maracanã Stadium,"Rio de Janeiro, Brazil","173,850",22,88,4,2,-,Zizinho,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Zizinho%2C_Fundo_Correio_da_Manh%C3%A3_-_2.tif/lossy-page1-220px-Zizinho%2C_Fundo_Correio_da_Manh%C3%A3_-_2.tif.jpg,Ademir Second Striker,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Ademir_de_Menezes.jpg/220px-Ademir_de_Menezes.jpg,8
1954,Switzerland,Germany,3–2,Hungary,Austria,Wankdorf Stadium,"Bern, Switzerland","62,500",26,140,5.38,7,0.12,Ferenc Puskás,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Ferenc_Pusk%C3%A1s_%28cropped%29.jpg/220px-Ferenc_Pusk%C3%A1s_%28cropped%29.jpg,Sándor Kocsis Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/9/9c/S%C3%A1ndor_Kocsis_1960_cropped.jpg,11
1958,Sweden,Brazil,5–2,Sweden,France,Råsunda Stadium,"Solna, Sweden","51,800",35,126,3.6,7,0.09,Didi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Waldir_Pereira_1958.jpg/220px-Waldir_Pereira_1958.jpg,Just Fontaine Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/7.7.71._Foot._Just_Fontaine_et_Mme_%281971%29_-_53Fi6518.jpg/800px-7.7.71._Foot._Just_Fontaine_et_Mme_%281971%29_-_53Fi6518.jpg,13
1962,Chile,Brazil,3–1,Czechoslovakia,Chile,Estadio Nacional,"Santiago, Chile","69,000",32,89,2.78,8,0.19,Garrincha,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/MFdSantos-Garrincha.jpg/220px-MFdSantos-Garrincha.jpg,Mané Garrincha Right Winger,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/MFdSantos-Garrincha.jpg/220px-MFdSantos-Garrincha.jpg,4
1966,England,England,4–2 (a.e.t.),Germany,Portugal,Wembley Stadium,"London, England","96,924",32,89,2.78,8,0.72,Bobby Charlton,https://upload.wikimedia.org/wikipedia/commons/b/b5/Bobby_charlton_elgrafico.JPG,Eusébio Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Eusebio_%281963%29.jpg/220px-Eusebio_%281963%29.jpg,9
1970,Mexico,Brazil,4–1,Italy,Germany,Estadio Azteca,"Mexico City, Mexico","107,412",32,95,2.97,5,1.78,Pelé,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/PEL%C3%89_-_1963_%28cropped%29.jpg/170px-PEL%C3%89_-_1963_%28cropped%29.jpg,Gerd Müller Centre-Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Gerd_M%C3%BCller_c1973.jpg/220px-Gerd_M%C3%BCller_c1973.jpg,10
1974,Germany,Germany,2–1,Netherlands,Poland,Olympiastadion,"Munich, Germany","75,200",38,97,2.55,7,2.37,Johan Cruyff,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Johan_Cruyff_1974c.jpg/250px-Johan_Cruyff_1974c.jpg,Grzegorz Lato Right Winger,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Grzegorz_Lato_by_Slawek.jpg/240px-Grzegorz_Lato_by_Slawek.jpg,7
